graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
berlin52,aco_basic,2,0,,,,0,false
berlin52,aco_basic,2,10,2067,,,400,true
berlin52,aco_basic,2,20,1995,,,800,true
berlin52,aco_basic,2,30,1995,,,1200,true
berlin52,aco_basic,2,40,1965,,,1600,true
berlin52,aco_basic,2,50,1965,,,2000,true
berlin52,aco_basic,2,60,1923,,,2400,true
berlin52,aco_basic,2,70,1923,,,2800,true
berlin52,aco_basic,2,80,1923,,,3200,true
berlin52,aco_basic,2,90,1922,,,3600,true
berlin52,aco_basic,2,100,1922,,,4000,true
berlin52,aco_basic,2,110,1922,,,4400,true
berlin52,aco_basic,2,120,1922,,,4800,true
berlin52,aco_basic,2,130,1922,,,5200,true
berlin52,aco_basic,2,140,1922,,,5600,true
berlin52,aco_basic,2,150,1922,,,6000,true
berlin52,aco_basic,2,160,1922,,,6400,true
berlin52,aco_basic,2,170,1922,,,6800,true
berlin52,aco_basic,2,180,1922,,,7200,true
berlin52,aco_basic,2,190,1922,,,7600,true
berlin52,aco_basic,2,200,1922,,,8000,true
berlin52,aco_basic,2,210,1922,,,8400,true
berlin52,aco_basic,2,220,1922,,,8800,true
berlin52,aco_basic,2,230,1922,,,9200,true
berlin52,aco_basic,2,240,1922,,,9600,true
berlin52,aco_basic,2,250,1922,,,10000,true
berlin52,aco_basic,2,260,1922,,,10400,true
berlin52,aco_basic,2,270,1922,,,10800,true
berlin52,aco_basic,2,280,1922,,,11200,true
berlin52,aco_basic,2,287,1922,,,11480,true
