graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
berlin52,aco_elite,4,0,,,,0,false
berlin52,aco_elite,4,10,2001,,,400,true
berlin52,aco_elite,4,20,1921,,,800,true
berlin52,aco_elite,4,30,1921,,,1200,true
berlin52,aco_elite,4,40,1921,,,1600,true
berlin52,aco_elite,4,50,1921,,,2000,true
berlin52,aco_elite,4,60,1921,,,2400,true
berlin52,aco_elite,4,70,1916,,,2800,true
berlin52,aco_elite,4,80,1916,,,3200,true
berlin52,aco_elite,4,90,1916,,,3600,true
berlin52,aco_elite,4,100,1916,,,4000,true
berlin52,aco_elite,4,110,1916,,,4400,true
berlin52,aco_elite,4,120,1916,,,4800,true
berlin52,aco_elite,4,130,1890,,,5200,true
berlin52,aco_elite,4,140,1890,,,5600,true
berlin52,aco_elite,4,150,1890,,,6000,true
berlin52,aco_elite,4,160,1890,,,6400,true
berlin52,aco_elite,4,170,1890,,,6800,true
berlin52,aco_elite,4,180,1890,,,7200,true
berlin52,aco_elite,4,190,1890,,,7600,true
berlin52,aco_elite,4,200,1890,,,8000,true
berlin52,aco_elite,4,210,1890,,,8400,true
berlin52,aco_elite,4,220,1890,,,8800,true
berlin52,aco_elite,4,230,1890,,,9200,true
berlin52,aco_elite,4,240,1890,,,9600,true
berlin52,aco_elite,4,250,1890,,,10000,true
berlin52,aco_elite,4,260,1890,,,10400,true
berlin52,aco_elite,4,270,1890,,,10800,true
berlin52,aco_elite,4,280,1890,,,11200,true
berlin52,aco_elite,4,290,1890,,,11600,true
berlin52,aco_elite,4,300,1890,,,12000,true
berlin52,aco_elite,4,310,1890,,,12400,true
berlin52,aco_elite,4,320,1890,,,12800,true
berlin52,aco_elite,4,330,1890,,,13200,true
berlin52,aco_elite,4,330,1890,,,13200,true
