graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
berlin52,sa_cauchy,5,0,7634,7634,353.0019777789235,211,true
berlin52,sa_cauchy,5,10,7608,7652,32.091088888993049,221,true
berlin52,sa_cauchy,5,20,6972,6972,16.809617989472549,231,true
berlin52,sa_cauchy,5,30,6777,6777,11.387160573513661,241,true
berlin52,sa_cauchy,5,40,6576,6576,8.6098043360713046,251,true
berlin52,sa_cauchy,5,50,6189,6189,6.9216074074298728,261,true
berlin52,sa_cauchy,5,60,5951,5951,5.786917668506943,271,true
berlin52,sa_cauchy,5,70,5507,5507,4.9718588419566689,281,true
berlin52,sa_cauchy,5,80,5454,5465,4.3580491083817714,291,true
berlin52,sa_cauchy,5,90,5352,5352,3.8791426129552034,301,true
berlin52,sa_cauchy,5,100,5123,5123,3.4950690869200347,311,true
berlin52,sa_cauchy,5,110,5054,5054,3.1801979980083197,321,true
berlin52,sa_cauchy,5,120,4964,4964,2.9173717171811862,331,true
berlin52,sa_cauchy,5,130,4964,4964,2.6946715860986528,341,true
berlin52,sa_cauchy,5,140,4819,4819,2.503560126091656,351,true
berlin52,sa_cauchy,5,150,4765,4765,2.3377614422445263,361,true
berlin52,sa_cauchy,5,160,4472,4472,2.1925588681920716,371,true
berlin52,sa_cauchy,5,170,4268,4268,2.0643390513387341,381,true
berlin52,sa_cauchy,5,180,4195,4195,1.9502871700493012,391,true
berlin52,sa_cauchy,5,190,4155,4155,1.8481778941304896,401,true
berlin52,sa_cauchy,5,200,4118,4118,1.7562287451687737,411,true
berlin52,sa_cauchy,5,210,4118,4118,1.6729951553503484,421,true
berlin52,sa_cauchy,5,220,3850,3850,1.5972940170992014,431,true
berlin52,sa_cauchy,5,230,3717,3717,1.5281470899520497,441,true
berlin52,sa_cauchy,5,240,3717,3717,1.4647384970079813,451,true
berlin52,sa_cauchy,5,250,3709,3709,1.4063823815893366,461,true
