graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
small6,aco_basic,1,0,,,,0,false
small6,aco_basic,1,10,12,,,391,true
small6,aco_basic,1,20,12,,,791,true
small6,aco_basic,1,30,12,,,1191,true
small6,aco_basic,1,40,12,,,1591,true
small6,aco_basic,1,50,12,,,1991,true
small6,aco_basic,1,60,12,,,2391,true
small6,aco_basic,1,70,12,,,2791,true
small6,aco_basic,1,80,12,,,3191,true
small6,aco_basic,1,90,12,,,3591,true
small6,aco_basic,1,100,12,,,3991,true
small6,aco_basic,1,110,12,,,4391,true
small6,aco_basic,1,120,12,,,4791,true
small6,aco_basic,1,130,12,,,5191,true
small6,aco_basic,1,140,12,,,5591,true
small6,aco_basic,1,150,12,,,5991,true
small6,aco_basic,1,160,12,,,6391,true
small6,aco_basic,1,170,12,,,6791,true
small6,aco_basic,1,180,12,,,7191,true
small6,aco_basic,1,190,12,,,7591,true
small6,aco_basic,1,200,12,,,7991,true
small6,aco_basic,1,201,12,,,8031,true
