graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
small6,aco_elite,5,0,,,,0,false
small6,aco_elite,5,10,12,,,397,true
small6,aco_elite,5,20,12,,,797,true
small6,aco_elite,5,30,12,,,1197,true
small6,aco_elite,5,40,12,,,1597,true
small6,aco_elite,5,50,12,,,1997,true
small6,aco_elite,5,60,12,,,2397,true
small6,aco_elite,5,70,12,,,2797,true
small6,aco_elite,5,80,12,,,3197,true
small6,aco_elite,5,90,12,,,3597,true
small6,aco_elite,5,100,12,,,3997,true
small6,aco_elite,5,110,12,,,4397,true
small6,aco_elite,5,120,12,,,4797,true
small6,aco_elite,5,130,12,,,5197,true
small6,aco_elite,5,140,12,,,5597,true
small6,aco_elite,5,150,12,,,5997,true
small6,aco_elite,5,160,12,,,6397,true
small6,aco_elite,5,170,12,,,6797,true
small6,aco_elite,5,180,12,,,7197,true
small6,aco_elite,5,190,12,,,7597,true
small6,aco_elite,5,200,12,,,7997,true
small6,aco_elite,5,201,12,,,8037,true
