graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
small6,sa_basic,3,0,,74,221.06888949668391,211,false
small6,sa_basic,3,10,12,127,210.26086033111434,221,true
small6,sa_basic,3,20,12,120,199.98123430137164,231,true
small6,sa_basic,3,30,12,175,190.20417784708366,241,true
small6,sa_basic,3,40,12,71,180.90512040727464,251,true
small6,sa_basic,3,50,12,283,172.06069267248913,261,true
small6,sa_basic,3,60,12,129,163.64866785576223,271,true
small6,sa_basic,3,70,12,236,155.64790583484378,281,true
small6,sa_basic,3,80,12,283,148.03830002530245,291,true
small6,sa_basic,3,90,12,74,140.80072685099648,301,true
small6,sa_basic,3,100,12,177,133.91699768492677,311,true
small6,sa_basic,3,110,12,71,127.36981313969514,321,true
small6,sa_basic,3,120,12,124,121.14271959269641,331,true
small6,sa_basic,3,130,12,182,115.2200678367879,341,true
small6,sa_basic,3,140,12,175,109.58697375252243,351,true
small6,sa_basic,3,150,12,76,104.22928090311072,361,true
small6,sa_basic,3,160,12,124,99.133524958111224,371,true
small6,sa_basic,3,170,12,173,94.286899856441011,381,true
small6,sa_basic,3,180,12,77,89.677225623672783,391,true
small6,sa_basic,3,190,12,19,85.29291776273989,401,true
small6,sa_basic,3,200,12,120,81.122958141125878,411,true
small6,sa_basic,3,210,12,73,77.156867301375584,421,true
small6,sa_basic,3,220,12,184,73.384678125341594,431,true
small6,sa_basic,3,230,12,125,69.79691078598232,441,true
small6,sa_basic,3,240,12,180,66.384548923763475,451,true
small6,sa_basic,3,250,12,73,63.139016987792075,461,true
small6,sa_basic,3,260,12,177,60.05215868473951,471,true
small6,sa_basic,3,270,12,78,57.116216481393828,481,true
small6,sa_basic,3,280,12,125,54.323812109329751,491,true
small6,sa_basic,3,290,12,177,51.667928022702696,501,true
small6,sa_basic,3,300,12,72,49.141889762568873,511,true
small6,sa_basic,3,310,12,131,46.739349183411463,521,true
small6,sa_basic,3,320,12,12,44.454268499719731,531,true
small6,sa_basic,3,330,12,72,42.280905112528892,541,true
small6,sa_basic,3,340,12,73,40.21379717778828,551,true
small6,sa_basic,3,350,12,73,38.247749880290293,561,true
small6,sa_basic,3,360,12,72,36.377822378665108,571,true
small6,sa_basic,3,370,12,71,34.599315388632839,581,true
small6,sa_basic,3,380,12,19,32.907759373308977,591,true
small6,sa_basic,3,390,12,21,31.298903310884132,601,true
small6,sa_basic,3,400,12,69,29.768704011450588,611,true
small6,sa_basic,3,410,12,12,28.313315956127717,621,true
small6,sa_basic,3,420,12,19,26.929081632951242,631,true
small6,sa_basic,3,430,12,19,25.612522345239675,641,true
small6,sa_basic,3,440,12,122,24.360329469338403,651,true
small6,sa_basic,3,450,12,128,23.169356139771633,661,true
small6,sa_basic,3,460,12,120,22.036609340906125,671,true
small6,sa_basic,3,470,12,74,20.95924238525247,681,true
small6,sa_basic,3,480,12,21,19.934547759501218,691,true
small6,sa_basic,3,490,12,12,18.959950320315361,701,true
small6,sa_basic,3,500,12,12,18.033000822779695,711,true
small6,sa_basic,3,510,12,12,17.15136976524337,721,true
small6,sa_basic,3,520,12,12,16.312841535087312,731,true
small6,sa_basic,3,530,12,12,15.515308840704357,741,true
small6,sa_basic,3,540,12,21,14.756767415699063,751,true
small6,sa_basic,3,550,12,21,14.035310981998588,761,true
small6,sa_basic,3,560,12,23,13.349126459216359,771,true
small6,sa_basic,3,570,12,23,12.696489408229356,781,true
small6,sa_basic,3,580,12,21,12.075759697518311,791,true
small6,sa_basic,3,590,12,21,11.485377381379951,801,true
small6,sa_basic,3,600,12,23,10.923858779652909,811,true
small6,sa_basic,3,610,12,21,10.389792749105343,821,true
small6,sa_basic,3,620,12,12,9.881837137113914,831,true
small6,sa_basic,3,630,12,21,9.3987154087219249,841,true
small6,sa_basic,3,640,12,12,8.93921343860017,851,true
small6,sa_basic,3,650,12,12,8.5021764598483891,861,true
small6,sa_basic,3,660,12,12,8.0865061619694156,871,true
small6,sa_basic,3,670,12,12,7.6911579307229996,881,true
small6,sa_basic,3,680,12,21,7.3151382229228075,891,true
small6,sa_basic,3,690,12,21,6.9575020695792658,901,true
small6,sa_basic,3,700,12,12,6.6173507011134127,911,true
small6,sa_basic,3,710,12,23,6.2938292886737441,921,true
