graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
small6,sa_cauchy,5,0,,125,232.61804425508362,211,false
small6,sa_cauchy,5,10,,236,21.147094932280329,221,false
small6,sa_cauchy,5,20,23,73,11.077049726432554,231,true
small6,sa_cauchy,5,30,19,19,7.5038078791962457,241,true
small6,sa_cauchy,5,40,19,19,5.6736108354898445,251,true
small6,sa_cauchy,5,50,12,12,4.561138122648698,261,true
small6,sa_cauchy,5,60,12,12,3.8134105615587477,271,true
small6,sa_cauchy,5,70,12,12,3.2763104824659663,281,true
small6,sa_cauchy,5,80,12,19,2.8718277068528844,291,true
small6,sa_cauchy,5,90,12,19,2.5562422445613584,301,true
small6,sa_cauchy,5,100,12,19,2.3031489530206297,311,true
small6,sa_cauchy,5,110,12,12,2.0956580563521046,321,true
small6,sa_cauchy,5,120,12,12,1.922463175661848,331,true
small6,sa_cauchy,5,130,12,12,1.775710261489188,341,true
small6,sa_cauchy,5,140,12,12,1.6497733635112313,351,true
small6,sa_cauchy,5,150,12,12,1.5405168493714148,361,true
small6,sa_cauchy,5,160,12,12,1.4448325730129417,371,true
small6,sa_cauchy,5,170,12,12,1.3603394400882083,381,true
small6,sa_cauchy,5,180,12,12,1.2851825649452133,391,true
small6,sa_cauchy,5,190,12,12,1.2178955196601235,401,true
small6,sa_cauchy,5,200,12,12,1.15730370276161,411,true
small6,sa_cauchy,5,210,12,12,1.1024551860430503,421,true
small6,sa_cauchy,5,220,12,12,1.0525703359958534,431,true
small6,sa_cauchy,5,230,12,12,1.0070045205847775,441,true
small6,sa_cauchy,5,240,12,12,0.9652201006435005,451,true
small6,sa_cauchy,5,250,12,12,0.92676511655411797,461,true
small6,sa_cauchy,5,260,12,12,0.89125687454055025,471,true
small6,sa_cauchy,5,270,12,12,0.85836916699292842,481,true
small6,sa_cauchy,5,280,12,12,0.82782222154834029,491,true
small6,sa_cauchy,5,290,12,12,0.79937472252606057,501,true
small6,sa_cauchy,5,300,12,12,0.77281742277436416,511,true
small6,sa_cauchy,5,310,12,12,0.74796798795846819,521,true
small6,sa_cauchy,5,320,12,12,0.72466680453297072,531,true
small6,sa_cauchy,5,330,12,12,0.70277354759843991,541,true
small6,sa_cauchy,5,340,12,12,0.68216435265420416,551,true
small6,sa_cauchy,5,350,12,12,0.66272947081220401,561,true
small6,sa_cauchy,5,360,12,12,0.64437131372599343,571,true
small6,sa_cauchy,5,370,12,12,0.62700281470372943,581,true
small6,sa_cauchy,5,380,12,12,0.61054604791360534,591,true
small6,sa_cauchy,5,390,12,12,0.59493105947591718,601,true
small6,sa_cauchy,5,400,12,12,0.58009487345407384,611,true
small6,sa_cauchy,5,410,12,12,0.56598064295640782,621,true
small6,sa_cauchy,5,420,12,12,0.55253692222110118,631,true
small6,sa_cauchy,5,430,12,12,0.53971704003499676,641,true
small6,sa_cauchy,5,440,12,12,0.52747855840155011,651,true
small6,sa_cauchy,5,450,12,12,0.51578280322634951,661,true
small6,sa_cauchy,5,460,12,12,0.50459445608478004,671,true
small6,sa_cauchy,5,470,12,12,0.49388119799380809,681,true
small6,sa_cauchy,5,480,12,12,0.48361339761971645,691,true
small6,sa_cauchy,5,490,12,12,0.47376383758672835,701,true
small6,sa_cauchy,5,500,12,12,0.46430747356304114,711,true
small6,sa_cauchy,5,510,12,12,0.45522122163421452,721,true
small6,sa_cauchy,5,520,12,12,0.44648377016330831,731,true
small6,sa_cauchy,5,530,12,12,0.43807541290976199,741,true
small6,sa_cauchy,5,540,12,12,0.42997790065634678,751,true
small6,sa_cauchy,5,550,12,12,0.42217430899289221,761,true
small6,sa_cauchy,5,560,12,12,0.41464892024079075,771,true
small6,sa_cauchy,5,570,12,12,0.40738711778473491,781,true
small6,sa_cauchy,5,580,12,12,0.4003752913168393,791,true
small6,sa_cauchy,5,590,12,12,0.39360075170064912,801,true
small6,sa_cauchy,5,600,12,12,0.38705165433458172,811,true
small6,sa_cauchy,5,610,12,12,0.38071693004105339,821,true
small6,sa_cauchy,5,620,12,12,0.37458622263298491,831,true
small6,sa_cauchy,5,630,12,12,0.36864983241693122,841,true
small6,sa_cauchy,5,640,12,12,0.36289866498452983,851,true
small6,sa_cauchy,5,650,12,12,0.35732418472363076,861,true
small6,sa_cauchy,5,660,12,12,0.35191837254929442,871,true
small6,sa_cauchy,5,670,12,12,0.34667368741443161,881,true
small6,sa_cauchy,5,680,12,12,0.34158303121157652,891,true
small6,sa_cauchy,5,690,12,12,0.33663971672226284,901,true
small6,sa_cauchy,5,700,12,12,0.33183743830967705,911,true
small6,sa_cauchy,5,710,12,12,0.32717024508450582,921,true
small6,sa_cauchy,5,720,12,12,0.32263251630386075,931,true
small6,sa_cauchy,5,730,12,12,0.31821893878944407,941,true
small6,sa_cauchy,5,740,12,12,0.31392448617420193,951,true
small6,sa_cauchy,5,750,12,12,0.30974439980703544,961,true
small6,sa_cauchy,5,760,12,12,0.3056741711630534,971,true
small6,sa_cauchy,5,770,12,12,0.30170952562267656,981,true
small6,sa_cauchy,5,780,12,12,0.29784640749690605,991,true
small6,sa_cauchy,5,790,12,12,0.29408096618847485,1001,true
small6,sa_cauchy,5,800,12,12,0.2904095433896175,1011,true
small6,sa_cauchy,5,810,12,12,0.28682866122698347,1021,true
small6,sa_cauchy,5,820,12,12,0.28333501127293986,1031,true
small6,sa_cauchy,5,830,12,12,0.27992544435028111,1041,true
small6,sa_cauchy,5,840,12,12,0.2765969610643087,1051,true
small6,sa_cauchy,5,850,12,12,0.27334670300244845,1061,true
small6,sa_cauchy,5,860,12,12,0.27017194454713545,1071,true
small6,sa_cauchy,5,870,12,12,0.26707008525267922,1081,true
small6,sa_cauchy,5,880,12,12,0.26403864274129807,1091,true
small6,sa_cauchy,5,890,12,12,0.26107524607753491,1101,true
small6,sa_cauchy,5,900,12,12,0.25817762958388857,1111,true
small6,sa_cauchy,5,910,12,12,0.25534362706375807,1121,true
small6,sa_cauchy,5,920,12,12,0.25257116640074223,1131,true
small6,sa_cauchy,5,930,12,12,0.24985826450599743,1141,true
small6,sa_cauchy,5,940,12,12,0.24720302258776156,1151,true
small6,sa_cauchy,5,950,12,12,0.24460362171933084,1161,true
small6,sa_cauchy,5,960,12,12,0.24205831868374986,1171,true
small6,sa_cauchy,5,970,12,12,0.23956544207526634,1181,true
small6,sa_cauchy,5,980,12,12,0.23712338863922897,1191,true
small6,sa_cauchy,5,990,12,12,0.2347306198335859,1201,true
small6,sa_cauchy,5,1000,12,12,0.23238565859648713,1211,true
small6,sa_cauchy,5,1010,12,12,0.23008708630572069,1221,true
small6,sa_cauchy,5,1020,12,12,0.2278335399168302,1231,true
small6,sa_cauchy,5,1030,12,12,0.22562370926778236,1241,true
small6,sa_cauchy,5,1040,12,12,0.22345633453898522,1251,true
small6,sa_cauchy,5,1050,12,12,0.22133020385830982,1261,true
small6,sa_cauchy,5,1060,12,12,0.21924415104154912,1271,true
small6,sa_cauchy,5,1070,12,12,0.21719705345946183,1281,true
small6,sa_cauchy,5,1080,12,12,0.21518783002320407,1291,true
small6,sa_cauchy,5,1090,12,12,0.21321543928055328,1301,true
small6,sa_cauchy,5,1100,12,12,0.21127887761587977,1311,true
small6,sa_cauchy,5,1110,12,12,0.20937717754732998,1321,true
small6,sa_cauchy,5,1120,12,12,0.20750940611515042,1331,true
small6,sa_cauchy,5,1130,12,12,0.2056746633555116,1341,true
small6,sa_cauchy,5,1140,12,12,0.20387208085458686,1351,true
small6,sa_cauchy,5,1150,12,12,0.20210082037800489,1361,true
small6,sa_cauchy,5,1160,12,12,0.20036007257113145,1371,true
small6,sa_cauchy,5,1170,12,12,0.19864905572594674,1381,true
small6,sa_cauchy,5,1180,12,12,0.19696701461057037,1391,true
small6,sa_cauchy,5,1190,12,12,0.19531321935775284,1401,true
small6,sa_cauchy,5,1200,12,12,0.1936869644088956,1411,true
small6,sa_cauchy,5,1210,12,12,0.19208756751039111,1421,true
small6,sa_cauchy,5,1220,12,12,0.19051436875928224,1431,true
small6,sa_cauchy,5,1230,12,12,0.18896672969543754,1441,true
small6,sa_cauchy,5,1240,12,12,0.18744403243761773,1451,true
small6,sa_cauchy,5,1250,12,12,0.18594567886097813,1461,true
small6,sa_cauchy,5,1260,12,12,0.18447108981370627,1471,true
small6,sa_cauchy,5,1270,12,12,0.18301970437064013,1481,true
small6,sa_cauchy,5,1280,12,12,0.18159097912184513,1491,true
small6,sa_cauchy,5,1290,12,12,0.18018438749425533,1501,true
small6,sa_cauchy,5,1300,12,12,0.17879941910459923,1511,true
