graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
world666,aco_basic,5,0,,,,0,false
world666,aco_basic,5,10,582886,,,400,true
world666,aco_basic,5,20,390522,,,800,true
world666,aco_basic,5,30,379089,,,1200,true
world666,aco_basic,5,40,379089,,,1600,true
world666,aco_basic,5,50,373310,,,2000,true
world666,aco_basic,5,60,373310,,,2400,true
world666,aco_basic,5,70,373310,,,2800,true
world666,aco_basic,5,80,373310,,,3200,true
world666,aco_basic,5,90,373310,,,3600,true
world666,aco_basic,5,100,373310,,,4000,true
world666,aco_basic,5,110,373310,,,4400,true
world666,aco_basic,5,120,373310,,,4800,true
world666,aco_basic,5,130,373310,,,5200,true
world666,aco_basic,5,140,373310,,,5600,true
world666,aco_basic,5,150,373310,,,6000,true
world666,aco_basic,5,160,369885,,,6400,true
world666,aco_basic,5,170,369885,,,6800,true
world666,aco_basic,5,180,368015,,,7200,true
world666,aco_basic,5,190,363118,,,7600,true
world666,aco_basic,5,200,363118,,,8000,true
world666,aco_basic,5,210,363118,,,8400,true
world666,aco_basic,5,220,362270,,,8800,true
world666,aco_basic,5,230,362270,,,9200,true
world666,aco_basic,5,240,362270,,,9600,true
world666,aco_basic,5,250,362270,,,10000,true
world666,aco_basic,5,260,362270,,,10400,true
world666,aco_basic,5,270,358050,,,10800,true
world666,aco_basic,5,280,358050,,,11200,true
world666,aco_basic,5,290,358050,,,11600,true
world666,aco_basic,5,300,358050,,,12000,true
world666,aco_basic,5,310,358050,,,12400,true
world666,aco_basic,5,320,358050,,,12800,true
world666,aco_basic,5,330,358050,,,13200,true
world666,aco_basic,5,340,358050,,,13600,true
world666,aco_basic,5,350,358050,,,14000,true
world666,aco_basic,5,360,353874,,,14400,true
world666,aco_basic,5,370,353874,,,14800,true
world666,aco_basic,5,380,353874,,,15200,true
world666,aco_basic,5,390,353874,,,15600,true
world666,aco_basic,5,400,353874,,,16000,true
world666,aco_basic,5,410,353874,,,16400,true
world666,aco_basic,5,420,353874,,,16800,true
world666,aco_basic,5,430,353874,,,17200,true
world666,aco_basic,5,440,353874,,,17600,true
world666,aco_basic,5,450,353874,,,18000,true
world666,aco_basic,5,460,352804,,,18400,true
world666,aco_basic,5,470,352804,,,18800,true
world666,aco_basic,5,480,352804,,,19200,true
world666,aco_basic,5,490,352804,,,19600,true
world666,aco_basic,5,500,352804,,,20000,true
world666,aco_basic,5,510,352804,,,20400,true
world666,aco_basic,5,520,351575,,,20800,true
world666,aco_basic,5,530,351575,,,21200,true
world666,aco_basic,5,540,351575,,,21600,true
world666,aco_basic,5,550,351575,,,22000,true
world666,aco_basic,5,560,351575,,,22400,true
world666,aco_basic,5,570,351575,,,22800,true
world666,aco_basic,5,580,351575,,,23200,true
world666,aco_basic,5,590,351575,,,23600,true
world666,aco_basic,5,600,351575,,,24000,true
world666,aco_basic,5,610,351575,,,24400,true
world666,aco_basic,5,620,351575,,,24800,true
world666,aco_basic,5,630,351575,,,25200,true
world666,aco_basic,5,640,351575,,,25600,true
world666,aco_basic,5,650,351575,,,26000,true
world666,aco_basic,5,660,351575,,,26400,true
world666,aco_basic,5,670,351575,,,26800,true
world666,aco_basic,5,680,351575,,,27200,true
world666,aco_basic,5,690,351575,,,27600,true
world666,aco_basic,5,700,351575,,,28000,true
world666,aco_basic,5,710,351575,,,28400,true
world666,aco_basic,5,713,351575,,,28520,true
