graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
world666,aco_elite,3,0,,,,0,false
world666,aco_elite,3,10,586966,,,400,true
world666,aco_elite,3,20,391161,,,800,true
world666,aco_elite,3,30,387327,,,1200,true
world666,aco_elite,3,40,385426,,,1600,true
world666,aco_elite,3,50,385343,,,2000,true
world666,aco_elite,3,60,381055,,,2400,true
world666,aco_elite,3,70,373338,,,2800,true
world666,aco_elite,3,80,373338,,,3200,true
world666,aco_elite,3,90,373338,,,3600,true
world666,aco_elite,3,100,373338,,,4000,true
world666,aco_elite,3,110,373338,,,4400,true
world666,aco_elite,3,120,373338,,,4800,true
world666,aco_elite,3,130,362387,,,5200,true
world666,aco_elite,3,140,362387,,,5600,true
world666,aco_elite,3,150,356292,,,6000,true
world666,aco_elite,3,160,356292,,,6400,true
world666,aco_elite,3,170,356292,,,6800,true
world666,aco_elite,3,180,355181,,,7200,true
world666,aco_elite,3,190,354706,,,7600,true
world666,aco_elite,3,200,350906,,,8000,true
world666,aco_elite,3,210,347870,,,8400,true
world666,aco_elite,3,220,347870,,,8800,true
world666,aco_elite,3,230,347870,,,9200,true
world666,aco_elite,3,240,347870,,,9600,true
world666,aco_elite,3,250,347870,,,10000,true
world666,aco_elite,3,260,347870,,,10400,true
world666,aco_elite,3,270,347813,,,10800,true
world666,aco_elite,3,280,347813,,,11200,true
world666,aco_elite,3,290,347813,,,11600,true
world666,aco_elite,3,300,347813,,,12000,true
world666,aco_elite,3,310,346948,,,12400,true
world666,aco_elite,3,320,346948,,,12800,true
world666,aco_elite,3,330,346948,,,13200,true
world666,aco_elite,3,340,346948,,,13600,true
world666,aco_elite,3,350,346948,,,14000,true
world666,aco_elite,3,360,346948,,,14400,true
world666,aco_elite,3,370,346948,,,14800,true
world666,aco_elite,3,380,346948,,,15200,true
world666,aco_elite,3,390,346948,,,15600,true
world666,aco_elite,3,400,346948,,,16000,true
world666,aco_elite,3,410,346948,,,16400,true
world666,aco_elite,3,420,345494,,,16800,true
world666,aco_elite,3,430,345494,,,17200,true
world666,aco_elite,3,440,345494,,,17600,true
world666,aco_elite,3,450,345494,,,18000,true
world666,aco_elite,3,460,345494,,,18400,true
world666,aco_elite,3,470,345494,,,18800,true
world666,aco_elite,3,480,345434,,,19200,true
world666,aco_elite,3,490,343798,,,19600,true
world666,aco_elite,3,500,339150,,,20000,true
world666,aco_elite,3,510,335497,,,20400,true
world666,aco_elite,3,520,335497,,,20800,true
world666,aco_elite,3,530,335497,,,21200,true
world666,aco_elite,3,540,335497,,,21600,true
world666,aco_elite,3,550,333550,,,22000,true
world666,aco_elite,3,560,333550,,,22400,true
world666,aco_elite,3,570,333550,,,22800,true
world666,aco_elite,3,580,333550,,,23200,true
world666,aco_elite,3,590,333112,,,23600,true
world666,aco_elite,3,600,333112,,,24000,true
world666,aco_elite,3,610,333112,,,24400,true
world666,aco_elite,3,620,333112,,,24800,true
world666,aco_elite,3,630,333112,,,25200,true
world666,aco_elite,3,640,333112,,,25600,true
world666,aco_elite,3,650,333112,,,26000,true
world666,aco_elite,3,660,333112,,,26400,true
world666,aco_elite,3,670,333112,,,26800,true
world666,aco_elite,3,680,333112,,,27200,true
world666,aco_elite,3,690,333112,,,27600,true
world666,aco_elite,3,700,333112,,,28000,true
world666,aco_elite,3,710,333112,,,28400,true
world666,aco_elite,3,720,333112,,,28800,true
world666,aco_elite,3,730,333112,,,29200,true
world666,aco_elite,3,740,333112,,,29600,true
world666,aco_elite,3,750,333112,,,30000,true
world666,aco_elite,3,760,333112,,,30400,true
world666,aco_elite,3,770,333112,,,30800,true
world666,aco_elite,3,780,333112,,,31200,true
world666,aco_elite,3,781,333112,,,31240,true
