graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
world666,sa_basic,3,0,4986309,4986309,18567.402257559817,211,true
world666,sa_basic,3,10,4958327,4961017,17659.644383598185,221,true
world666,sa_basic,3,20,4952225,4958708,16796.266673663205,231,true
world666,sa_basic,3,30,4935639,4948174,15975.099387325707,241,true
world666,sa_basic,3,40,4924241,4924241,15194.078862483026,251,true
world666,sa_basic,3,50,4924241,4937224,14451.242329203456,261,true
world666,sa_basic,3,60,4904418,4912951,13744.722977121184,271,true
world666,sa_basic,3,70,4862010,4863226,13072.745263985622,281,true
world666,sa_basic,3,80,4862010,4881577,12433.620453575166,291,true
world666,sa_basic,3,90,4862010,4884171,11825.742371761764,301,true
world666,sa_basic,3,100,4862010,4900240,11247.58337006094,311,true
world666,sa_basic,3,110,4862010,4885602,10697.690486523306,321,true
world666,sa_basic,3,120,4862010,4874348,10174.681794319629,331,true
world666,sa_basic,3,130,4848610,4856043,9677.242928843054,341,true
world666,sa_basic,3,140,4848610,4849043,9204.1237846008862,351,true
world666,sa_basic,3,150,4837445,4842256,8754.1353735948614,361,true
world666,sa_basic,3,160,4814630,4816053,8326.1468372948348,371,true
world666,sa_basic,3,170,4800986,4800986,7919.0826046966622,381,true
world666,sa_basic,3,180,4781784,4781784,7531.919689322267,391,true
world666,sa_basic,3,190,4735530,4735530,7163.6851183690178,401,true
world666,sa_basic,3,200,4735530,4752930,6813.4534875476656,411,true
world666,sa_basic,3,210,4710200,4710200,6480.3446354639291,421,true
world666,sa_basic,3,220,4699173,4699680,6163.5214316992615,431,true
world666,sa_basic,3,230,4693675,4693675,5862.1876730320655,441,true
world666,sa_basic,3,240,4689359,4689724,5575.5860825123682,451,true
world666,sa_basic,3,250,4659963,4659963,5302.9964063614807,461,true
world666,sa_basic,3,260,4658293,4661413,5043.7336039139864,471,true
world666,sa_basic,3,270,4621047,4621047,4797.1461260532278,481,true
world666,sa_basic,3,280,4593923,4594046,4562.6142778138583,491,true
world666,sa_basic,3,290,4575212,4575212,4339.5486610365315,501,true
world666,sa_basic,3,300,4566073,4566627,4127.3886931610223,511,true
world666,sa_basic,3,310,4555725,4555725,3925.6011984353313,521,true
world666,sa_basic,3,320,4508987,4510250,3733.6790680004183,531,true
world666,sa_basic,3,330,4494283,4494283,3551.1399854831993,541,true
world666,sa_basic,3,340,4469650,4469650,3377.5252148951436,551,true
world666,sa_basic,3,350,4454826,4454826,3212.3984477903541,561,true
world666,sa_basic,3,360,4427814,4430779,3055.3447067859265,571,true
world666,sa_basic,3,370,4408243,4408243,2905.9693026890677,581,true
