graph,algorithm,seed,iteration,bestCost,currentCost,currentTemperature,objectiveEvaluations,isFeasible
world666,sa_cauchy,5,0,5166554,5166554,18647.702605907009,211,true
world666,sa_cauchy,5,10,5126643,5126643,1695.2456914460918,221,true
world666,sa_cauchy,5,20,5067537,5067944,887.98583837652427,231,true
world666,sa_cauchy,5,30,5054418,5054418,601.53879373893574,241,true
world666,sa_cauchy,5,40,5029112,5029158,454.82201477821974,251,true
world666,sa_cauchy,5,50,5006745,5006745,365.6412275668041,261,true
world666,sa_cauchy,5,60,4988413,4988413,305.70004271978701,271,true
world666,sa_cauchy,5,70,4960586,4960586,262.64369867474659,281,true
world666,sa_cauchy,5,80,4956188,4956188,230.21855069020998,291,true
world666,sa_cauchy,5,90,4939057,4939057,204.91980885612097,301,true
world666,sa_cauchy,5,100,4918089,4918089,184.63071887036642,311,true
world666,sa_cauchy,5,110,4888111,4888111,167.99732077393702,321,true
world666,sa_cauchy,5,120,4880608,4880608,154.11324467691742,331,true
world666,sa_cauchy,5,130,4847947,4847947,142.34887485425196,341,true
world666,sa_cauchy,5,140,4840184,4840199,132.25320997097168,351,true
world666,sa_cauchy,5,150,4822558,4822558,123.49471924441727,361,true
world666,sa_cauchy,5,160,4771715,4771715,115.82423978824229,371,true
world666,sa_cauchy,5,170,4752864,4752864,109.05089243220473,381,true
world666,sa_cauchy,5,180,4735507,4735507,103.02598124810503,391,true
world666,sa_cauchy,5,190,4713479,4713479,97.631950816267064,401,true
world666,sa_cauchy,5,200,4675393,4675393,92.774639830383123,411,true
world666,sa_cauchy,5,210,4664271,4664271,88.377737468753594,421,true
world666,sa_cauchy,5,220,4637705,4637705,84.378744823108633,431,true
world666,sa_cauchy,5,230,4606872,4606872,80.725985306956744,441,true
world666,sa_cauchy,5,240,4596737,4596757,77.376359360609996,451,true
world666,sa_cauchy,5,250,4564429,4564429,74.293635880107601,461,true
world666,sa_cauchy,5,260,4544543,4544543,71.447136421099643,471,true
world666,sa_cauchy,5,270,4531844,4531844,68.810710722904091,481,true
world666,sa_cauchy,5,280,4523330,4523330,66.361930981875474,491,true
world666,sa_cauchy,5,290,4490792,4490792,64.081452253975968,501,true
world666,sa_cauchy,5,300,4468835,4468835,61.952500351850524,511,true
world666,sa_cauchy,5,310,4441432,4441432,59.960458539893921,521,true
world666,sa_cauchy,5,320,4427368,4427387,58.092531482576348,531,true
world666,sa_cauchy,5,330,4402099,4402099,56.337470108480389,541,true
world666,sa_cauchy,5,340,4377363,4377363,54.685344885357793,551,true
world666,sa_cauchy,5,350,4368174,4368174,53.127357851586922,561,true
world666,sa_cauchy,5,360,4362789,4362789,51.655685888939082,571,true
world666,sa_cauchy,5,370,4337119,4337119,50.263349342067407,581,true
world666,sa_cauchy,5,380,4320841,4320841,48.944101327839917,591,true
world666,sa_cauchy,5,390,4288693,4288733,47.692334030452706,601,true
world666,sa_cauchy,5,400,4283895,4283895,46.502999017224461,611,true
world666,sa_cauchy,5,410,4267149,4267149,45.371539187121677,621,true
world666,sa_cauchy,5,420,4258177,4258177,44.293830417831373,631,true
world666,sa_cauchy,5,430,4237588,4237588,43.26613133621116,641,true
world666,sa_cauchy,5,440,4218860,4218860,42.285039922691631,651,true
world666,sa_cauchy,5,450,4213336,4213336,41.347455888929062,661,true
world666,sa_cauchy,5,460,4210663,4210663,40.450547952075944,671,true
world666,sa_cauchy,5,470,4193654,4193654,39.591725277934202,681,true
world666,sa_cauchy,5,480,4183463,4183463,38.768612486293158,691,true
world666,sa_cauchy,5,490,4173827,4173827,37.979027710604903,701,true
world666,sa_cauchy,5,500,4161308,4161308,37.220963285243528,711,true
world666,sa_cauchy,5,510,4143201,4143201,36.492568700405101,721,true
world666,sa_cauchy,5,520,4134406,4134406,35.792135519975062,731,true
world666,sa_cauchy,5,530,4130696,4130696,35.118084003591356,741,true
world666,sa_cauchy,5,540,4113163,4113163,34.468951212397428,751,true
world666,sa_cauchy,5,550,4098109,4098109,33.843380409994573,761,true
world666,sa_cauchy,5,560,4098040,4098040,33.240111596982189,771,true
world666,sa_cauchy,5,570,4092899,4092899,32.657973040117355,781,true
world666,sa_cauchy,5,580,4087652,4087652,32.095873676259913,791,true
world666,sa_cauchy,5,590,4067766,4067766,31.552796287490708,801,true
world666,sa_cauchy,5,600,4067766,4067766,31.027791357582377,811,true
world666,sa_cauchy,5,610,4055940,4055940,30.5199715317627,821,true
world666,sa_cauchy,5,620,4048892,4048892,30.02850661176652,831,true
world666,sa_cauchy,5,630,4041929,4041929,29.552619026793991,841,true
world666,sa_cauchy,5,640,4030038,4030038,29.091579728404071,851,true
world666,sa_cauchy,5,650,4029976,4029976,28.644704463758845,861,true
world666,sa_cauchy,5,660,4018414,4018414,28.211350387151299,871,true
world666,sa_cauchy,5,670,4003204,4003204,27.790912974526094,881,true
world666,sa_cauchy,5,680,3977855,3977855,27.382823209848766,891,true
world666,sa_cauchy,5,690,3962157,3962157,26.986545015784383,901,true
world666,sa_cauchy,5,700,3958910,3958910,26.601572904289597,911,true
world666,sa_cauchy,5,710,3953166,3953166,26.22742982546696,921,true
world666,sa_cauchy,5,720,3945864,3945864,25.863665195432745,931,true
world666,sa_cauchy,5,730,3924578,3924578,25.509853086056101,941,true
world666,sa_cauchy,5,740,3924526,3924526,25.165590561278016,951,true
world666,sa_cauchy,5,750,3909918,3909926,24.830496146347549,961,true
world666,sa_cauchy,5,760,3901636,3901636,24.504208417749027,971,true
world666,sa_cauchy,5,770,3901636,3901636,24.186384702862526,981,true
world666,sa_cauchy,5,780,3894245,3894245,23.87669987952242,991,true
world666,sa_cauchy,5,790,3874236,3874236,23.574845266633385,1001,true
world666,sa_cauchy,5,800,3867784,3867784,23.280527597886401,1011,true
world666,sa_cauchy,5,810,3862561,3862561,22.993468071401985,1021,true
world666,sa_cauchy,5,820,3824612,3824612,22.713401468827051,1031,true
world666,sa_cauchy,5,830,3810048,3810048,22.440075338034909,1041,true
world666,sa_cauchy,5,840,3799666,3799666,22.173249234134374,1051,true
world666,sa_cauchy,5,850,3796197,3796197,21.912694013991786,1061,true
world666,sa_cauchy,5,860,3791965,3791965,21.658191179915224,1071,true
world666,sa_cauchy,5,870,3779381,3779381,21.409532268549953,1081,true
world666,sa_cauchy,5,880,3773982,3773982,21.166518281392744,1091,true
world666,sa_cauchy,5,890,3773401,3773401,20.928959153655452,1101,true
world666,sa_cauchy,5,900,3765447,3765447,20.696673258498343,1111,true
world666,sa_cauchy,5,910,3764337,3764337,20.469486943915488,1121,true
world666,sa_cauchy,5,920,3758948,3758948,20.247234099790454,1131,true
world666,sa_cauchy,5,930,3751846,3751846,20.02975575285393,1141,true
world666,sa_cauchy,5,940,3744210,3744210,19.816899687467597,1151,true
world666,sa_cauchy,5,950,3717501,3717501,19.608520090333343,1161,true
world666,sa_cauchy,5,960,3711472,3711472,19.404477217385026,1171,true
world666,sa_cauchy,5,970,3710962,3710962,19.204637081263655,1181,true
world666,sa_cauchy,5,980,3694631,3694631,19.008871157907247,1191,true
world666,sa_cauchy,5,990,3693601,3693601,18.817056110905156,1201,true
world666,sa_cauchy,5,1000,3684096,3684096,18.629073532374633,1211,true
world666,sa_cauchy,5,1010,3679765,3679765,18.444809699215636,1221,true
world666,sa_cauchy,5,1020,3674375,3674375,18.264155343689527,1231,true
world666,sa_cauchy,5,1030,3673197,3673197,18.087005437349184,1241,true
world666,sa_cauchy,5,1040,3665549,3665549,17.91325898742268,1251,true
world666,sa_cauchy,5,1050,3661520,3661520,17.74281884482113,1261,true
world666,sa_cauchy,5,1060,3655925,3655925,17.575591523003776,1271,true
world666,sa_cauchy,5,1070,3648113,3648113,17.41148702699067,1281,true
world666,sa_cauchy,5,1080,3640131,3640131,17.250418691865875,1291,true
world666,sa_cauchy,5,1090,3627871,3627871,17.092303030162245,1301,true
world666,sa_cauchy,5,1100,3626333,3626333,16.937059587563134,1311,true
world666,sa_cauchy,5,1110,3610986,3610986,16.784610806396948,1321,true
world666,sa_cauchy,5,1120,3608545,3608545,16.63488189643801,1331,true
world666,sa_cauchy,5,1130,3600767,3600767,16.487800712561459,1341,true
world666,sa_cauchy,5,1140,3593963,3593963,16.343297638831736,1351,true
world666,sa_cauchy,5,1150,3592989,3592989,16.201305478633369,1361,true
world666,sa_cauchy,5,1160,3588385,3588385,16.061759350479765,1371,true
world666,sa_cauchy,5,1170,3578313,3578313,15.924596589160554,1381,true
world666,sa_cauchy,5,1180,3570726,3570726,15.7897566519111,1391,true
world666,sa_cauchy,5,1190,3566189,3566189,15.65718102930899,1401,true
world666,sa_cauchy,5,1200,3550978,3550978,15.526813160621989,1411,true
world666,sa_cauchy,5,1210,3535903,3535903,15.398598353350131,1421,true
world666,sa_cauchy,5,1220,3533623,3533623,15.272483706721546,1431,true
world666,sa_cauchy,5,1230,3510884,3510884,15.148418038917148,1441,true
world666,sa_cauchy,5,1240,3502867,3502867,15.026351817813866,1451,true
world666,sa_cauchy,5,1250,3487070,3487070,14.906237095049567,1461,true
world666,sa_cauchy,5,1260,3477146,3477146,14.788027443225225,1471,true
world666,sa_cauchy,5,1270,3476286,3476286,14.671677896071603,1481,true
world666,sa_cauchy,5,1280,3471258,3471258,14.55714489141843,1491,true
world666,sa_cauchy,5,1290,3464619,3464619,14.444386216814104,1501,true
world666,sa_cauchy,5,1300,3458107,3458107,14.333360957653349,1511,true
world666,sa_cauchy,5,1310,3452359,3452359,14.224029447678877,1521,true
world666,sa_cauchy,5,1320,3451878,3451878,14.11635322173127,1531,true
world666,sa_cauchy,5,1330,3431796,3431796,14.010294970628857,1541,true
world666,sa_cauchy,5,1340,3431796,3431796,13.905818498066374,1551,true
world666,sa_cauchy,5,1350,3411664,3411664,13.802888679427838,1561,true
world666,sa_cauchy,5,1360,3409459,3409459,13.701471422415143,1571,true
world666,sa_cauchy,5,1370,3406364,3406364,13.601533629399714,1581,true
world666,sa_cauchy,5,1380,3386703,3386703,13.503043161409854,1591,true
world666,sa_cauchy,5,1390,3386270,3386270,13.405968803671465,1601,true
world666,sa_cauchy,5,1400,3375272,3375272,13.31028023262456,1611,true
world666,sa_cauchy,5,1410,3364512,3364512,13.215947984342316,1621,true
